resp,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
1,rural,north,26,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
2,rural,eastern,27,primary/middle school,currently married,1,0.526,-0.10762556240365462
3,urban,kampala,15,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
4,rural,western,14,secondary/post-primary,never married,0,0.499,-0.6017186019266556
5,rural,karamoja,17,never attended,currently living with partner,0,0.45,-1.4984059699498786
6,rural,central 1,17,secondary/post-primary,currently living with partner,1,0.54,0.14857082846012368
7,rural,central 1,23,tertiary/post-secondary,currently living with partner,0,0.54,0.14857082846012368
8,rural,western,27,never attended,currently living with partner,0,0.499,-0.6017186019266556
9,rural,karamoja,22,never attended,currently married,0,0.45,-1.4984059699498786
10,rural,south west,28,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
11,urban,kampala,11,primary/middle school,never married,1,0.639,1.9602453067111254
12,rural,karamoja,21,never attended,currently married,0,0.45,-1.4984059699498786
13,rural,western,23,never attended,currently married,0,0.499,-0.6017186019266556
14,rural,central 1,18,primary/middle school,never married,0,0.54,0.14857082846012368
15,rural,eastern,13,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
16,rural,eastern,28,primary/middle school,currently married,1,0.526,-0.10762556240365462
17,rural,western,40,primary/middle school,currently married,0,0.499,-0.6017186019266556
18,urban,kampala,14,secondary/post-primary,currently living with partner,1,0.639,1.9602453067111254
19,rural,north,13,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
20,rural,eastern,21,primary/middle school,currently married,0,0.526,-0.10762556240365462
21,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
22,rural,eastern,11,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
23,urban,kampala,6,secondary/post-primary,never married,0,0.639,1.9602453067111254
24,rural,east central,31,never attended,divorced or separated,0,0.53,-0.03442659358543225
25,rural,central 1,13,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
26,rural,central 2,13,primary/middle school,currently living with partner,0,0.586,0.990358969869679
27,rural,west nile,26,never attended,currently living with partner,0,0.486,-0.8396152505858784
28,rural,south west,9,primary/middle school,never married,0,0.518,-0.2540235000400994
29,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
30,urban,western,11,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
31,rural,central 2,28,primary/middle school,currently living with partner,0,0.586,0.990358969869679
32,rural,western,36,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
33,rural,karamoja,13,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
34,rural,west nile,18,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
35,rural,karamoja,20,primary/middle school,currently married,0,0.45,-1.4984059699498786
36,rural,karamoja,21,never attended,divorced or separated,0,0.45,-1.4984059699498786
37,rural,north,29,never attended,currently married,1,0.475,-1.0409124148359898
38,rural,central 2,13,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
39,urban,kampala,17,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
40,rural,central 2,24,secondary/post-primary,currently married,0,0.586,0.990358969869679
41,rural,east central,41,primary/middle school,currently married,1,0.53,-0.03442659358543225
42,rural,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
43,rural,south west,20,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
44,rural,east central,7,primary/middle school,never married,0,0.53,-0.03442659358543225
45,rural,south west,28,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
46,rural,central 1,39,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
47,rural,north,29,never attended,currently living with partner,0,0.475,-1.0409124148359898
48,urban,kampala,22,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
49,rural,east central,14,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
50,rural,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
51,rural,north,36,primary/middle school,currently married,0,0.475,-1.0409124148359898
52,rural,western,27,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
53,rural,west nile,13,primary/middle school,currently married,0,0.486,-0.8396152505858784
54,rural,south west,21,secondary/post-primary,never married,0,0.518,-0.2540235000400994
55,rural,eastern,15,primary/middle school,currently married,0,0.526,-0.10762556240365462
56,rural,north,29,never attended,currently married,0,0.475,-1.0409124148359898
57,rural,eastern,31,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
58,rural,western,15,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
59,rural,south west,20,secondary/post-primary,never married,0,0.518,-0.2540235000400994
60,rural,western,26,primary/middle school,currently married,0,0.499,-0.6017186019266556
61,rural,eastern,8,primary/middle school,currently married,0,0.526,-0.10762556240365462
62,rural,central 1,20,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
63,rural,east central,29,never attended,currently married,0,0.53,-0.03442659358543225
64,urban,central 1,15,secondary/post-primary,never married,0,0.54,0.14857082846012368
65,rural,east central,14,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
66,rural,central 1,12,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
67,rural,south west,14,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
68,rural,north,37,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
69,rural,west nile,30,never attended,currently married,0,0.486,-0.8396152505858784
70,rural,south west,11,primary/middle school,divorced or separated,1,0.518,-0.2540235000400994
71,urban,kampala,19,secondary/post-primary,currently married,1,0.639,1.9602453067111254
72,rural,east central,21,never attended,currently married,0,0.53,-0.03442659358543225
73,urban,karamoja,26,tertiary/post-secondary,currently married,0,0.45,-1.4984059699498786
74,rural,east central,16,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
75,urban,west nile,30,primary/middle school,currently married,0,0.486,-0.8396152505858784
76,rural,western,26,primary/middle school,currently living with partner,1,0.499,-0.6017186019266556
77,rural,north,15,primary/middle school,currently married,0,0.475,-1.0409124148359898
78,rural,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
79,urban,kampala,37,primary/middle school,currently married,0,0.639,1.9602453067111254
80,rural,eastern,30,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
81,rural,eastern,25,primary/middle school,currently married,0,0.526,-0.10762556240365462
82,rural,south west,15,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
83,urban,western,20,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
84,rural,south west,30,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
85,rural,south west,13,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
86,rural,east central,18,tertiary/post-secondary,never married,0,0.53,-0.03442659358543225
87,urban,kampala,16,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
88,rural,eastern,37,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
89,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
90,rural,east central,23,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
91,urban,kampala,14,primary/middle school,currently married,0,0.639,1.9602453067111254
92,rural,central 2,23,primary/middle school,currently living with partner,0,0.586,0.990358969869679
